Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qalb_Response
Urdu,Receiving Gifts,استاد,شاگرد,High,Formal,Humility,Neutral,یہ تمہاری محنت کا انعام ہے۔,ایک تعلیمی تقریب میں آپ کے استاد آپ کو اچھی کارکردگی پر انعام دیتے ہیں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔,سر، بہت شکریہ، مگر یہ تو صرف ایک چھوٹی سی کامیابی ہے۔ براہ
Urdu,Receiving Gifts,قریبی دوست,قریبی دوست,Low,Informal,Modest thanks,Negative,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,دوست کسی سفر سے واپسی پر پ کو کوئی تحفہ دیتا ہے۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی۔
Urdu,Receiving Gifts,بزرگ,نوجوان,High,Formal,Deferential acceptance,Positive,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,ابّا جان، بہت شکریہ! مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی
Urdu,Offering Help,قریبی دوست,قریبی دوست,Low,Informal,Friendly offer,Positive,یار، کچھ مدد چاہیے؟,آپ کا قریبی دوست آپ کو کسی کام میں مصروف دیکھ کر مدد کی پیشکش کرتا ہے۔,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,نہیں یار، شکریہ! بس تقریباً ختم ہی ہو گیا ہے۔ آپ کی
Urdu,Offering Help,دوست,دوست,Low,Informal,Casual offer,Neutral,میں ہاتھ بٹا دوں؟,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,نہیں یار، شکریہ! بس تقریباً ختم ہی ہو گیا ہے۔ تم�
Urdu,Offering Help,پڑوسی,پڑوسی,Medium,Formal,Polite offer,Positive,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,نہیں یار، شکریہ! بس تقریباً ختم ہی ہو گیا ہے۔ آپ کی
Urdu,Offering Help,پڑوسی,پڑوسی,Medium,Formal,Soft offer,Neutral,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,نہیں یار، شکریہ! بس تقریباً ختم ہی ہو گیا ہے۔ آپ کی
Urdu,Offering Help,بھائی,بہن,Medium,Informal,Supportive offer,Positive,میں تمہارا کام کر دوں؟,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,نہیں یار، بس تقریباً ختم ہی ہو گیا ہے۔ تمہارا بہ
Urdu,Offering Help,بہن,بھائی,Medium,Informal,Concerned offer,Neutral,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,جی یار، بس کام مکمل کر لوں، پھر مل کر کچھ دیر چلتے ہیں۔ ان شاء الل
Urdu,Offering Help,استاد,طالب علم,Medium,Formal,Guiding offer,Positive,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,بہت شکریہ سر، مگر مجھے بس یہ کام مکمل کر لوں، پھر میں ان شاء اللہ
Urdu,Offering Help,استاد,طالب علم,Medium,Formal,Professional offer,Neutral,کیا میں اس حصے کی مزید وضاحت کر دوں؟,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,جی سر، براہِ کرم مزید وضاحت کر دیجیے۔ یہ تصور ان شاء اللہ سمجھ میں آ
Urdu,Offering Help,قریبی دوست,قریبی دوست,Low,Informal,Eager offer,Positive,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,نہیں یار، بس یہ کام مکمل کر لوں، پھر کچھ دیر آرام کر لیتا ہوں
Urdu,Offering Help,قریبی دوست,قریبی دوست,Low,Informal,Reassuring offer,Negative,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,نہ یار، بس تھوڑا دباؤ محسوس کر رہا ہوں، تمہارا حوصلہ
Urdu,Offering Help,ماں,بیٹا,High,Informal,Caring offer,Positive,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,والدین، میری تابکاری دیکھ لو، میں یہ کام مکمل کر لیتا ہوں۔ تمہارا ب�
Urdu,Offering Help,والد,بیٹا,High,Formal,Directive offer,Neutral,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,نوح جان، بس یہ کام مکمل کر لوں، پھر مل کر دوسرا کام کر لیتے ہیں۔ تم�
Urdu,Offering Help,سینئر,جونیئر,High,Formal,Authoritative offer,Negative,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,نہیں یار، بس تقریباً ختم ہی ہو گیا ہے۔ آپ کی مدد کا ب
Urdu,Offering Help,کزن,کزن,Low,Informal,Friendly support,Positive,میں تمہارے ساتھ ہوں، فکر مت کرو۔,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,نہیں یار، بس تھوڑا پریشان ہوں گی، بس یہ کام مکمل کر لوں، پ
Urdu,Offering Help,کزن,کزن,Low,Informal,Dismissive offer,Negative,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,یار، بس مل کر کام مکمل کر لوں، پھر میں تھوڑا آرام کر لیتا ہوں۔ تم
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Friendly insistence,Positive,یار، رہنے دو، آج بل میری طرف سے ہے۔,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,یار، بس کام مکمل کر لوں، پھر ہم مل کر بل ادا کر لیٹے ہیں۔ تمہ
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Playful insistence,Neutral,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,یار، بس کام مکمل کر لوں، پھر ہم مل کر بل ادا کر لیں گے۔ تمہارا شکری�
Urdu,Paying for a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite insistence,Positive,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,بہت شکریہ، مگر یار، تمہارا بل ادا ہو گیا، میری طرف سے کوئی ضرورت ن
Urdu,Paying for a Meal,پڑوسی,پڑوسی,Medium,Formal,Soft offer,Neutral,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,جی یار، تمہارا بہت شکریہ! بس تقریباً ختم ہی ہو گیا ہے،
Urdu,Paying for a Meal,بھائی,بہن,Medium,Informal,Supportive insistence,Positive,تم مت نکالو، آج بل میری طرف سے ہے۔,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,بھائی، تمہارا شکر گزار ہوں، مگر آج بل میری طرف سے ہے۔ تمہ
Urdu,Paying for a Meal,بڑی بہن,بھائی,Medium,Informal,Casual refusal,Neutral,میں بل دے دیتی ہوں۔,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,بہن، آپ کی محبت کا بے حد شکریہ، مگر یہ میری ذمہ داری ہے۔
Urdu,Paying for a Meal,استاد,طالب علم,Medium,Formal,Respectful offer,Positive,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,سر، بہت شکریہ، مگر آپ کو بل نہیں دینا یقینی بنائیں۔ یہ میری تکلی
Urdu,Paying for a Meal,استاد,طالب علم,Medium,Formal,Professional insistence,Neutral,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,بہت شکریہ سر، آج کا ارادہ ہی تھا کہ میں بل ادا کر لوں۔
Urdu,Paying for a Meal,دوست,دوست,Low,Informal,Assertive insistence,Negative,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,یار، بس آدھی دے لوں، باقی کل دے جاؤں، اگر کوئی مسئلہ نکل آیا تو
Urdu,Paying for a Meal,دوست,دوست,Low,Informal,Dismissive insistence,Negative,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,نہیں یار، تمہارا شکریہ، مگر مجھے بل دینے کی ضرورت نہیں، می�
Urdu,Paying for a Meal,والد,بیٹا,High,Formal,Parental authority,Positive,بیٹا، آج کا بل میں ادا کروں گا۔,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,جی ابو، جیسا آپ مناسب سمجھیں۔,ابّا جان، آپ کی محبت اور دعائیں ہی میرے لیے کافی ہیں، مجھے اس ک
Urdu,Paying for a Meal,والد,بیٹا,High,Formal,Directive offer,Neutral,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,ابّا جان، آپ کی محبت کا بے حد شکریہ، مگر معذرت چاہتا ہوں، میں اد
Urdu,Paying for a Meal,سینئر,جونیئر,High,Formal,Authoritative control,Negative,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,سر، یہ بل تو کمپنی کی طرف سے آ رہا ہے، مگر آپ کی اچھی نظر کا شکری�
Urdu,Paying for a Meal,کزن,کزن,Low,Informal,Friendly sharing,Positive,آج کھانا میری طرف سے، تم بس آرام کرو۔,آپ اپنے کزن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن دوستانہ انداز میں ادائیگی اپنے ذمے لینے کی پیشکش کرتا ہے۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,بہت شکریہ کزن، مگر آج کا کھانا میری طرف سے رہنے دیجیے۔ تم�
Urdu,Paying for a Meal,کزن,کزن,Low,Informal,Light insistence,Neutral,یار، بل آدھا آدھا کر لیتے ہیں۔,آپ اور آپ کا کزن کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن خرچ برابر تقسیم کرنے کی تجویز دیتا ہے۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,یار، تمہارا خرچ دیکھ لو، میں نے تو تقریباً برابر خرچ دیا۔ تمہاری تجویز ب
Urdu,Respect for Elders,دادا,پوتا,High,Formal,Deferential response,Positive,میرے ساتھ بازار چلو گے؟,آپ کے دادا بازار جانے کی تیاری کر رہے ہیں اور چاہتے ہیں کہ آپ ان کے ساتھ چلیں۔,جی دادا جان ضرور چلوں گا۔,جی یار، میں ضرور چلوں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ تمہارا شکری�
Urdu,Respect for Elders,دادی,پوتی,High,Formal,Respectful compliance,Positive,بیٹا، وقت پر دوا لینا مت بھولنا۔,آپ کی دادی آپ کی طبیعت کے بارے میں فکر مند ہیں اور دوا وقت پر لینے کی نصیحت کر رہی ہیں۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔,ابّا جان، معذرت چاہتا ہوں، میرا دھیان نہیں رہا۔ آئند
Urdu,Respect for Elders,والد,بیٹا,High,Formal,Obedient acknowledgment,Neutral,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,آپ کے والد اگلے دن کے ایک ضروری کام کے لیے آپ کو وقت کی پابندی کی تاکید کر رہے ہیں۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔,جی ابو، میں ضرور جلدی اٹھوں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ ان شاء الل
Urdu,Respect for Elders,والدہ,بیٹی,High,Informal,Affectionate respect,Positive,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,آپ کی والدہ گھر کے کاموں میں مصروف ہیں اور آپ سے ایک کام کرنے کو کہتی ہیں۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,ابّا جان، یہ کام مکمل کر لوں، پھر کچھ دیر آرام کر لیتا ہوں۔ تمہارا
Urdu,Respect for Elders,چچا,بھتیجا,High,Formal,Deferential acceptance,Positive,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,آپ کے چچا کسی کام میں مصروف ہیں اور آپ سے ایک فائل لانے کو کہتے ہیں۔,جی چچا جان، ابھی لے کر آتا ہوں۔,جی چچا، یہ فائل تمہاری ہے، براہِ کرم لی لوں۔ ان شاء اللہ می
Urdu,Respect for Elders,خالہ,بھانجی,High,Formal,Polite obedience,Neutral,بیٹا، ذرا وہ بیگ میرے کمرے سے لے آؤ۔,آپ کی خالہ کسی کام میں مصروف ہیں اور اپنے کمرے سے ایک بیگ منگواتی ہیں۔,جی خالہ جان، ابھی لے آتی ہوں۔,ابّا جان، یہ بیگ آپ کو مل گیا، براہِ کرم واپس کر دیجیے۔ ان شاء اللہ می�
Urdu,Respect for Elders,ماموں,بھانجا,High,Formal,Respectful agreement,Positive,بیٹا، کل میرے ساتھ جانا، مجھے تمہاری ضرورت پڑے گی۔,آپ کے ماموں کسی کام کے لیے آپ کی مدد چاہتے ہیں اور آپ کو اپنے ساتھ چلنے کو کہتے ہیں۔,جی ماموں جان، آپ فرمائیں، میں ضرور ساتھ چلوں گا۔,جی ماموں، میں ضرور تمہارا ساتھ دیتا ہوں، اگر کوئی اور ضروری کام ن�
Urdu,Respect for Elders,استاد,طالب علم,Medium,Formal,Academic respect,Positive,امتحان سے پہلے یہ باب دوبارہ پڑھ لینا۔,آپ کے استاد امتحان کی تیاری کے سلسلے میں آپ کو ایک اہم باب پر توجہ دینے کا مشورہ دیتے ہیں۔,جی سر، میں اس پر دوبارہ توجہ دوں گا۔,جی سر، بس میں یہ باب دوبارہ پڑھ لوں، امید ہے کہ بہتر طور پر سمج
Urdu,Respect for Elders,استاد,طالب علم,Medium,Formal,Corrective respect,Neutral,یہ طریقہ درست نہیں، اسے دوبارہ کرو۔,آپ کے استاد آپ کے حل یا کام میں ایک غلطی کی نشاندہی کرتے ہیں اور اسے درست کرنے کا کہتے ہیں۔,جی سر، میں اسے درست کر لیتا ہوں۔,جی سر، یہ میری کوتاہی تھی، براہِ کرم معذرت چاہتا ہوں۔
Urdu,Respect for Elders,بزرگ پڑوسی,نوجوان,High,Formal,Community respect,Positive,بیٹا، ذرا یہ گیٹ بند کر دو۔,آپ کے بزرگ پڑوسی گھر کے باہر کھڑے ہیں اور آپ سے گیٹ بند کرنے کو کہتے ہیں۔,جی انکل، ابھی بند کر دیتا ہوں۔,ابّا جان، میں ضرور گیٹ بند کر لوں، مگر آپ کو ان کی تکلیف نہیں دینی چاہی�
Urdu,Respect for Elders,بزرگ خاتون,نوجوان لڑکی,High,Formal,Gentle compliance,Neutral,بیٹی، ذرا یہ سامان اندر رکھ دو۔,ایک بزرگ خاتون گھر کے باہر کھڑی ہیں اور آپ سے سامان اندر رکھنے میں مدد مانگتی ہیں۔,جی اماں جی، ابھی اندر رکھ دیتی ہوں۔,جی امّی، ان شاء اللہ میں فوراً یہ سامان اندر رکھ لوں۔ تمہارا بہت
Urdu,Respect for Elders,والد,بیٹا,High,Formal,Authoritative command,Negative,میں نے تم سے منع کیا تھا، پھر یہ کیوں کیا؟,آپ کے والد کسی ناپسندیدہ کام پر ناراضی کا اظہار کرتے ہوئے آپ سے وضاحت طلب کر رہے ہیں۔,جی ابو، مجھ سے غلط فیصلہ ہو گیا، آئندہ آپ کی بات کا زیادہ خیال رکھوں گا۔,ابّا جان، معذرت چاہتا ہوں، میرا دھیان نہیں رہا۔ آپ کی نص
Urdu,Respect for Elders,دادا,پوتا,High,Formal,Mild reprimand,Negative,اتنی دیر کیوں ہو گئی؟,آپ معمول سے کافی دیر بعد گھر پہنچے ہیں اور آپ کے دادا آپ سے وجہ پوچھ رہے ہیں۔,معاف کیجیے دادا جان، دیر ہو گئی، آئندہ خیال رکھوں گا۔,دادا جان، معذرت چاہتا ہوں، میری کوتاہی حد یہی تھی۔ براہ
Urdu,Respect for Elders,امی,بیٹا,High,Informal,Emotional guidance,Positive,بیٹا، باہر دیر تک مت رہنا، مجھے فکر ہوتی ہے۔,آپ گھر سے باہر جا رہے ہیں۔ آپ کی والدہ محبت بھرے انداز میں اپنی فکر کا اظہار کرتی ہیں۔,اچھا امی، میں جلد واپس آ جاؤں گا، آپ پریشان نہ ہوں۔,ابّا جان، یورم دیر نہیں رہوں گا، بس کام مکمل کر لوں، پھر آؤں
Urdu,Respect for Elders,تایا,بھتیجا,High,Formal,Hierarchical respect,Neutral,بیٹا، ایک بات سمجھا رہا ہوں، ذرا توجہ سے سنو۔,آپ کے تایا آپ کو زندگی کے ایک اہم معاملے پر نصیحت کر رہے ہیں۔,جی تایا جان، میں پوری توجہ سے سن رہا ہوں۔,ابّا جان، آپ کی نصیحتیں ہمیشہ میرے لیے رہنُمائی بنتی ہیں
Urdu,Family Obligations & Requests,والد,بیٹا,High,Formal,Duty acceptance,Positive,بیٹا، کل مہمان آ رہے ہیں، ذرا گھر کے کاموں میں مدد کر دینا۔,آپ کے والد مہمانوں کی آمد سے پہلے گھر کی تیاریوں میں مصروف ہیں اور آپ سے تعاون چاہتے ہیں۔,جی ابو، آپ بے فکر رہیں، میں وقت پر سب کام سنبھال لوں گا۔,"جی ابو، ان شاء اللہ میں ضرور مدد کر دوں گا۔ تمہارا بہت شکریہ۔
اب"
Urdu,Family Obligations & Requests,والدہ,بیٹی,High,Informal,Caring request,Positive,بیٹا، ذرا کچن میں ہاتھ بٹا دو۔,گھر میں مہمان آنے والے ہیں اور آپ کی والدہ تیاریوں میں مصروف ہیں اور آپ سے مدد چاہتی ہیں۔,جی امی، ابھی آتی ہوں، بتائیے کیا کرنا ہے۔,جی امی، ان شاء اللہ میں کچن دیکھ کر کچھ نکل لوں، تاکہ آپ کو مدد ملے
Urdu,Family Obligations & Requests,چچا,بھتیجا,High,Formal,Respectful compliance,Neutral,کل میرے ساتھ بازار جانا ہے، کچھ سامان لینا ہے۔,آپ کے چچا خریداری کے لیے جا رہے ہیں اور آپ کو ساتھ چلنے کے لیے کہتے ہیں۔,جی چچا جان، آپ فکر نہ کریں، میں ساتھ چلوں گا۔,جی یار، بس کام مکمل کر لوں، پھر آؤں گا۔ ان شاء اللہ میں تمہارا ساتھ
Urdu,Family Obligations & Requests,خالہ,بھانجی,High,Formal,Polite acceptance,Positive,بیٹا، مہمانوں کے لیے ذرا کمرہ تیار کر دو، وہ آنے والے ہیں۔,گھر میں مہمانوں کی آمد متوقع ہے اور آپ کی خالہ آپ سے تیاریوں میں مدد چاہتی ہیں۔,جی خالہ جان، ابھی کر دیتی ہوں۔,جی امی، ان شاء اللہ میں کمرہ جلدی تیار کر لوں گا۔ تمہارا بہت شکری�
Urdu,Family Obligations & Requests,دادا,پوتا,High,Formal,Deferential duty,Positive,بیٹا، ذرا میری دوائی لے آؤ۔,آپ کے دادا کو اپنی روزمرہ کی دوائی کی ضرورت ہے اور وہ آپ سے مدد چاہتے ہیں۔,جی دادا جان، ابھی لے آتا ہوں، آپ آرام کریں۔,جی ابو، ان شاء اللہ میں جلدی واپس آؤں گا۔ تمہارا بہت شکریہ۔
Urdu,Family Obligations & Requests,دادی,پوتی,High,Formal,Respectful service,Neutral,بیٹی، ذرا میرے لیے پانی لے آنا۔,آپ کی دادی آرام کر رہی ہیں اور آپ سے ایک گلاس پانی لانے کی درخواست کرتی ہیں۔,جی دادی جان، ابھی لاتی ہوں۔,جی دادی، بس میں پانی لیتا ہوں۔ تمہارا بہت شکریہ۔ ان شاء الل�
Urdu,Family Obligations & Requests,بھائی,بہن,Medium,Informal,Supportive request,Positive,ذرا میرا بیگ پکڑ لو، ہاتھ بھرے ہوئے ہیں۔,آپ کا بھائی کچھ سامان اٹھائے ہوئے ہے اور آپ سے تھوڑی مدد مانگتا ہے۔,ہاں، دو، میں سنبھال لیتی ہوں۔,بہت شکریہ، بس تقریباً ختم ہی ہو گیا ہے۔ تمہارا بہ
Urdu,Family Obligations & Requests,بہن,بھائی,Medium,Informal,Casual request,Neutral,ذرا فون چارجر دے دینا، بیٹری ختم ہونے والی ہے۔,آپ کی بہن آپ سے اپنا فون چارج کرنے کے لیے چارجر مانگتی ہے۔,ہاں، یہ رہا، استعمال کر لو۔,بہو، معذرت چاہتا ہوں، میرا چارجر نکال لیا، تمھاری بات نہی�
Urdu,Family Obligations & Requests,سسر,داماد,High,Formal,Respect-based request,Positive,بیٹا، فرصت ملے تو ذرا یہ کام دیکھ لیجیے گا۔,آپ کے سسر آپ سے ایک کام میں مدد کی درخواست کرتے ہیں۔,جی ابا جی، میں دیکھ لیتا ہوں۔,ابّا جان، بس یہ کام مکمل کر لوں، پھر ان شاء اللہ میں مدد کرنے کی کوشش کرو
Urdu,Family Obligations & Requests,ساس,بہو,High,Formal,Household duty,Neutral,آج مہمان آ رہے ہیں، کھانے کا انتظام کرنا ہے۔,گھر میں مہمان آنے والے ہیں اور آپ کی ساس آپ کو تیاریوں کی یاد دہانی کرا رہی ہیں۔,جی امی جان، آپ بتا دیجیے کیا کیا بنانا ہے۔,جی ساس، ان شاء اللہ میں تمام تیاری مکمل کر لوں گا۔ تمہارا بہت شکریہ۔
